id,event_type,latitude,longitude,address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,description,veh_type,veh_no,corridor,priority,client_id,police_station,zone,junction,day_of_week,day_name,hour,minute,month,month_name,date,week_of_year,year,week_id,hour_ist,time_bucket,time_bucket_ist,is_named_corridor,cause_severity,corridor_id,event_cause_id,zone_id,veh_type_id,time_bucket_ist_id,time_bucket_id,risk_weight,weeks_present,recurrence_score
FKID000015,unplanned,13.0633917,77.5933483,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",others,False,2024-03-07 19:10:21.930000+00:00,,active,yes,ಟೈರ್ ಪಂಚರ್,unknown,,Bellary Road 2,High,1,Kodigehalli,North Zone 2,,3.0,Thursday,19.0,10.0,3.0,March,2024-03-07,10,2024,10_2024,0,evening,midnight,1,0.8,3,4,5,10,3,3,1.5,7.0,0.3043
FKID000016,unplanned,13.063425,77.5933,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",others,False,2024-03-07 19:11:15.565000+00:00,,active,yes,tyear blost,unknown,,Bellary Road 2,High,1,Kodigehalli,North Zone 2,,3.0,Thursday,19.0,11.0,3.0,March,2024-03-07,10,2024,10_2024,0,evening,midnight,1,0.8,3,4,5,10,3,3,1.5,7.0,0.3043
FKID000017,unplanned,13.0254527,77.6417388,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",others,False,2024-03-07 19:18:29.890000+00:00,,active,yes,[LOCATION] parked at ring road sir traffic little bit slow sir,unknown,,ORR North 1,High,1,Hennuru,North Zone 1,,3.0,Thursday,19.0,18.0,3.0,March,2024-03-07,10,2024,10_2024,0,evening,midnight,1,0.8,14,4,4,10,3,3,1.5,9.0,0.3913
FKID000018,unplanned,12.9233517,77.5904883,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",tree_fall,False,2024-03-07 19:39:29.764000+00:00,,closed,yes,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,unknown,,Non-corridor,Low,1,Jayanagara,Unknown,,3.0,Thursday,19.0,39.0,3.0,March,2024-03-07,10,2024,10_2024,1,evening,midnight,0,1.2,11,10,8,10,3,3,1.0,22.0,0.9565
FKID000019,unplanned,13.0001393,77.5840594,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",vehicle_breakdown,False,2024-01-30 04:49:17.231000+00:00,,closed,yes,KSRTC bus mechanic [PERSON] sir that's why vehicle not moving,ksrtc_bus,FKN00GL0006,Bellary Road 1,High,1,Sadashivanagar,North Zone 1,,1.0,Tuesday,4.0,49.0,1.0,January,2024-01-30,5,2024,5_2024,10,midnight,morning,1,1.0,2,11,4,3,4,4,1.5,15.0,0.6522
FKID000020,unplanned,12.9071221,77.6286395,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",vehicle_breakdown,False,2024-03-07 19:25:04.302000+00:00,,closed,no,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,heavy_vehicle,FKN00GL0007,Hosur Road,High,1,Madiwala,South Zone 1,,3.0,Thursday,19.0,25.0,3.0,March,2024-03-07,10,2024,10_2024,0,evening,midnight,1,1.0,7,11,6,2,3,3,1.5,11.0,0.4783
FKID000021,unplanned,12.927375,77.5806883,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",tree_fall,True,2024-03-07 19:45:16.034000+00:00,,closed,yes,,unknown,,Non-corridor,Low,1,Jayanagara,Unknown,,3.0,Thursday,19.0,45.0,3.0,March,2024-03-07,10,2024,10_2024,1,evening,midnight,0,1.2,11,10,8,10,3,3,1.0,22.0,0.9565
FKID000022,unplanned,12.9169074,77.5950955,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",pot_holes,False,2024-01-05 22:35:41.185000+00:00,,closed,yes,,unknown,,Non-corridor,Low,1,Jayanagara,South Zone 1,28thMainJayanagarJunc,4.0,Friday,22.0,35.0,1.0,January,2024-01-05,1,2024,1_2024,4,night,midnight,0,1.0,11,5,6,10,3,3,1.0,22.0,0.9565
FKID000023,unplanned,12.9667047,77.6615983,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:32:47.117000+00:00,,active,yes,A,unknown,,,Low,1,Jeevanbheemanagar,Unknown,,1.0,Tuesday,8.0,32.0,1.0,January,2024-01-30,5,2024,5_2024,14,early_morning,afternoon,1,1.0,-1,5,8,10,0,0,1.0,,
FKID000024,unplanned,12.8966387,77.7202071,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",water_logging,False,2024-03-07 19:55:24.461000+00:00,,active,yes,water logging with drainage leakage near [LOCATION] bus stop [LOCATION] road.,unknown,,Non-corridor,Low,1,Whitefield,Unknown,,3.0,Thursday,19.0,55.0,3.0,March,2024-03-07,10,2024,10_2024,1,evening,midnight,0,1.5,11,13,8,10,3,3,1.0,22.0,0.9565
FKID000025,unplanned,12.9463911,77.597326,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",tree_fall,True,2024-03-07 06:09:19.361000+00:00,,closed,no,no,unknown,,Non-corridor,Low,1,Wilson Garden,Unknown,,3.0,Thursday,6.0,9.0,3.0,March,2024-03-07,10,2024,10_2024,11,early_morning,morning,0,1.2,11,10,8,10,4,4,1.0,21.0,0.913
FKID000026,unplanned,12.9856042,77.5977438,"Queens Road, HVS Apartment, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",pot_holes,False,2024-01-30 08:35:04.399000+00:00,,active,yes,Chamber hole,unknown,,,High,1,Shivajinagar,Unknown,,1.0,Tuesday,8.0,35.0,1.0,January,2024-01-30,5,2024,5_2024,14,early_morning,afternoon,1,1.0,-1,5,8,10,0,0,1.5,,
FKID000027,unplanned,12.9077383,77.6005709,"Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",vehicle_breakdown,False,2024-01-30 08:12:47.138000+00:00,,closed,yes,Bmtc bus offload due to gear box problem,bmtc_bus,FKN00GL0008,Bannerghata Road,High,1,Mico Layout,South Zone 2,,1.0,Tuesday,8.0,12.0,1.0,January,2024-01-30,5,2024,5_2024,13,early_morning,afternoon,1,1.0,1,11,7,1,0,0,1.5,2.0,0.087
FKID000028,unplanned,12.9635109,77.6642122,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",pot_holes,False,2024-01-30 08:25:57.212000+00:00,,closed,yes,A,unknown,,,Low,1,HAL Old Airport,Unknown,,1.0,Tuesday,8.0,25.0,1.0,January,2024-01-30,5,2024,5_2024,13,early_morning,afternoon,1,1.0,-1,5,8,10,0,0,1.0,,
FKID000029,unplanned,12.9667073,77.6615616,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:31:37.367000+00:00,,active,yes,A,unknown,,,Low,1,Jeevanbheemanagar,Unknown,,1.0,Tuesday,8.0,31.0,1.0,January,2024-01-30,5,2024,5_2024,14,early_morning,afternoon,1,1.0,-1,5,8,10,0,0,1.0,,
FKID000030,unplanned,12.9666867,77.6616478,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:33:55.212000+00:00,,active,yes,,unknown,,Non-corridor,Low,1,Jeevanbheemanagar,Unknown,,1.0,Tuesday,8.0,33.0,1.0,January,2024-01-30,5,2024,5_2024,14,early_morning,afternoon,0,1.0,11,5,8,10,0,0,1.0,18.0,0.7826
FKID000031,unplanned,12.907814,77.6006561,"Bannerghatta Main Road, Srinivas Industrial Estate, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",vehicle_breakdown,True,2024-01-30 08:08:05.581000+00:00,,closed,yes,GD mara to [PERSON],bmtc_bus,FKN00GL0009,Bannerghata Road,High,1,Mico Layout,South Zone 2,,1.0,Tuesday,8.0,8.0,1.0,January,2024-01-30,5,2024,5_2024,13,early_morning,afternoon,1,1.0,1,11,7,1,0,0,1.5,2.0,0.087
FKID000032,unplanned,12.8955737,77.5993711,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",vehicle_breakdown,False,2024-01-30 05:43:18.534000+00:00,,closed,yes,Near hsbc junction lgv vehicle off road due to clutch plate got broken have left side no problem to traffic from hsbc to arakere junction sir,lcv,FKN00GL0010,Bannerghata Road,High,1,J.P. Nagar,South Zone 2,,1.0,Tuesday,5.0,43.0,1.0,January,2024-01-30,5,2024,5_2024,11,early_morning,morning,1,1.0,1,11,7,4,4,4,1.5,11.0,0.4783
FKID000033,unplanned,12.92757,77.5832051,"9th Main Road, Geeta Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",tree_fall,False,2024-03-07 20:06:03.523000+00:00,,closed,yes,,unknown,,Non-corridor,Low,1,Jayanagara,Unknown,,3.0,Thursday,20.0,6.0,3.0,March,2024-03-07,10,2024,10_2024,1,evening,midnight,0,1.2,11,10,8,10,3,3,1.0,22.0,0.9565
FKID000034,unplanned,13.044697,77.5828546,"Outer Ring Road, Abdul Patel Syed Layout, Bhoopasandra, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",congestion,False,2024-01-30 05:38:15.485000+00:00,,closed,no,BWSSB AND KRIDE WORK AT [LOCATION] hebbal circle to bhadrapp layout sir,unknown,,ORR North 2,High,1,Kodigehalli,North Zone 2,,1.0,Tuesday,5.0,38.0,1.0,January,2024-01-30,5,2024,5_2024,11,early_morning,morning,1,2.0,15,1,5,10,4,4,1.5,11.0,0.4783
FKID000035,unplanned,12.9666885,77.6616396,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:35:57.672000+00:00,,active,yes,A,unknown,,,Low,1,Jeevanbheemanagar,Unknown,,1.0,Tuesday,8.0,35.0,1.0,January,2024-01-30,5,2024,5_2024,14,early_morning,afternoon,1,1.0,-1,5,8,10,0,0,1.0,,
FKID000036,unplanned,12.9789228,77.5644032,"Magadi Road, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",vehicle_breakdown,False,2024-03-07 20:17:50.952000+00:00,,closed,yes,traffic normal sir.,bmtc_bus,FKN00GL0011,Magadi Road,High,1,Magadi Road,West Zone 2,,3.0,Thursday,20.0,17.0,3.0,March,2024-03-07,10,2024,10_2024,1,evening,midnight,1,1.0,9,11,10,1,3,3,1.5,9.0,0.3913
FKID000037,unplanned,12.8636494,77.6725849,"Doddanagamangala Road, Sri Rajarajeshwari Nagar, Doddanagamangala, Bengaluru, Karnataka. Pin-560100 (India)",accident,False,2024-01-30 03:52:59.126038+00:00,,closed,yes,,unknown,,Non-corridor,Low,1,Electronic City,Unknown,,1.0,Tuesday,3.0,52.0,1.0,January,2024-01-30,5,2024,5_2024,9,midnight,morning,0,3.0,11,0,8,10,4,4,2.0,21.0,0.913
FKID000038,unplanned,12.9219483,77.6002467,"Bannerghatta Main Road, Opulent Spire, Block 9, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",vehicle_breakdown,False,2024-01-30 15:15:10.139000+00:00,,closed,yes,One garage vehical stopped on road due to break down,heavy_vehicle,FKN00GL0012,Bannerghata Road,High,1,Mico Layout,South Zone 2,,1.0,Tuesday,15.0,15.0,1.0,January,2024-01-30,5,2024,5_2024,20,afternoon,evening,1,1.0,1,11,7,2,2,2,1.5,1.0,0.0435
FKID000039,unplanned,12.9666597,77.661556,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:37:16.322000+00:00,2024-01-30 05:38:46+00:00,active,yes,Pc18977,unknown,,,Low,1,Jeevanbheemanagar,Unknown,,1.0,Tuesday,8.0,37.0,1.0,January,2024-01-30,5,2024,5_2024,14,early_morning,afternoon,1,1.0,-1,5,8,10,0,0,1.0,,
FKID000040,planned,12.946469,77.6986754,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",construction,False,2024-01-30 11:31:12.848000+00:00,2024-01-30 11:31:46+00:00,closed,no,[LOCATION] works going on sir,unknown,,ORR East 1,High,1,HAL Old Airport,East Zone 1,,1.0,Tuesday,11.0,31.0,1.0,January,2024-01-30,5,2024,5_2024,17,morning,evening,1,1.5,12,2,2,10,2,2,1.5,1.0,0.0435
FKID000041,unplanned,12.9936273,77.5844677,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",others,True,2024-03-07 20:20:31.140000+00:00,,closed,yes,Near cm office [PERSON] towards B02 junction sir,unknown,,Bellary Road 1,High,1,High ground,North Zone 1,,3.0,Thursday,20.0,20.0,3.0,March,2024-03-07,10,2024,10_2024,1,evening,midnight,1,0.8,2,4,4,10,3,3,1.5,16.0,0.6957
FKID000042,unplanned,12.9465079,77.6986339,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",vehicle_breakdown,False,2024-01-30 20:38:19.329000+00:00,,closed,yes,Biriyani zone [PERSON] on [LOCATION] off road,bmtc_bus,FKN00GL0013,ORR East 1,High,1,HAL Old Airport,East Zone 1,,1.0,Tuesday,20.0,38.0,1.0,January,2024-01-30,5,2024,5_2024,2,evening,midnight,1,1.0,12,11,2,1,3,3,1.5,11.0,0.4783
FKID000043,unplanned,13.0467058,77.5036495,"6th Main Road, The Edge, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",vehicle_breakdown,False,2024-03-07 18:29:50.857000+00:00,,closed,yes,,lcv,FKN00GL0014,Non-corridor,Low,1,Chikkabanavara,Unknown,,3.0,Thursday,18.0,29.0,3.0,March,2024-03-07,10,2024,10_2024,23,evening,night,0,1.0,11,11,8,4,5,5,1.0,4.0,0.1739
FKID000044,unplanned,13.0166142,77.5054464,"14th Cross Road, Industrial Area Stage 3, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",vehicle_breakdown,False,2023-12-28 06:06:26.375000+00:00,,closed,no,BMTC off road on 14th cross towards NTTF traffic one side movement,bmtc_bus,FKN00GL0015,Non-corridor,Low,1,Peenya,West Zone 1,Peenya14thCrossJunc,3.0,Thursday,6.0,6.0,12.0,December,2023-12-28,52,2023,52_2023,11,early_morning,morning,0,1.0,11,11,9,1,4,4,1.0,21.0,0.913
FKID000045,planned,13.0085677,77.6131497,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",construction,True,2024-01-30 21:21:10.303000+00:00,2024-01-30 21:20:46+00:00,closed,yes,,unknown,,Non-corridor,Low,1,K.G. Halli,Unknown,,1.0,Tuesday,21.0,21.0,1.0,January,2024-01-30,5,2024,5_2024,2,night,midnight,0,1.5,11,2,8,10,3,3,1.0,21.0,0.913
FKID000046,unplanned,13.0309717,77.5364661,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",vehicle_breakdown,False,2024-01-30 19:33:25.417000+00:00,,closed,yes,Cmti jn incoming [LOCATION] LGv ವೆಹಿಕಲ್ ಕಮಾನ್ ಪಾಟ್ ಕಟ್ ಆಗಿದೆ ಸರ್,lcv,FKN00GL0016,Tumkur Road,High,1,Yeshwanthpura,West Zone 1,,1.0,Tuesday,19.0,33.0,1.0,January,2024-01-30,5,2024,5_2024,1,evening,midnight,1,1.0,19,11,9,4,3,3,1.5,16.0,0.6957
FKID000047,unplanned,13.0262806,77.5442344,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",others,False,2024-03-07 20:27:15.443000+00:00,,closed,yes,mei signal off due to power Problem,unknown,,Tumkur Road,High,1,Yeshwanthpura,West Zone 1,,3.0,Thursday,20.0,27.0,3.0,March,2024-03-07,10,2024,10_2024,1,evening,midnight,1,0.8,19,4,9,10,3,3,1.5,18.0,0.7826
FKID000048,unplanned,12.9938639,77.5844374,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",tree_fall,False,2024-03-07 20:41:41.999000+00:00,,closed,yes,,unknown,,Bellary Road 1,High,1,High ground,North Zone 1,,3.0,Thursday,20.0,41.0,3.0,March,2024-03-07,10,2024,10_2024,2,evening,midnight,1,1.2,2,10,4,10,3,3,1.5,16.0,0.6957
FKID000049,unplanned,12.9188682,77.6687736,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",vehicle_breakdown,False,2024-01-30 21:27:52.454000+00:00,,closed,yes,BMTC buss off -road due to break down..fire station jn towards [LOCATION],bmtc_bus,FKN00GL0017,ORR East 1,High,1,Bellandur,East Zone 1,,1.0,Tuesday,21.0,27.0,1.0,January,2024-01-30,5,2024,5_2024,2,night,midnight,1,1.0,12,11,2,1,3,3,1.5,11.0,0.4783
FKID000050,unplanned,12.9546127,77.6423399,"Nagasandra Road, Serenity Layout, Domlur, Bengaluru, Karnataka. Pin-560071 (India)",congestion,False,2024-01-30 20:46:34.356000+00:00,,closed,no,,unknown,,IRR(Thanisandra road),High,1,Jeevanbheemanagar,Unknown,,1.0,Tuesday,20.0,46.0,1.0,January,2024-01-30,5,2024,5_2024,2,evening,midnight,1,2.0,8,1,8,10,3,3,1.5,6.0,0.2609
FKID000051,unplanned,12.936133,77.5187044,"Sri Sri Sri Tiruchi Mahaswamiji Road, Rajarajeshwari Junction, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",vehicle_breakdown,False,2024-01-30 21:13:55.445000+00:00,,closed,yes,,lcv,FKN00GL0018,Mysore Road,High,1,Byatarayanapura,West Zone 1,,1.0,Tuesday,21.0,13.0,1.0,January,2024-01-30,5,2024,5_2024,2,night,midnight,1,1.0,10,11,9,4,3,3,1.5,18.0,0.7826
