shadow_event_id,corridor,day_of_week,day_name,time_bucket,incident_count,weighted_count,severity_sum,top_cause,lat_centroid,lon_centroid,weeks_present,accident_count,recurrence_score,frequency_score,severity_score,risk_score,probability_score,seri,seri_band,risk_level,corridor_relative_score
SE0024,Non-corridor,5.0,Saturday,afternoon,50,53.0,62.0,vehicle_breakdown,12.9539406114,77.6224899346,17,3,0.7391,0.2427,0.1839,0.197,0.197,42.95,Medium,Low,0.197
SE0025,ORR East 2,0.0,Monday,midnight,29,43.5,36.5,construction,12.975640444482758,77.69624312620691,20,0,0.8696,0.1408,0.1083,0.1617,0.1617,42.58,Medium,Low,1.0
SE0026,Non-corridor,4.0,Friday,afternoon,61,62.0,68.5,vehicle_breakdown,12.98076787704918,77.57911242622951,15,1,0.6522,0.2961,0.2032,0.2305,0.2305,42.0,Medium,Low,0.2305
SE0027,Non-corridor,1.0,Tuesday,afternoon,38,42.0,47.1,vehicle_breakdown,12.997723370263158,77.58914880473684,18,4,0.7826,0.1845,0.1397,0.1561,0.1561,41.48,Medium,Low,0.1561
SE0028,Bellary Road 1,4.0,Friday,midnight,39,60.0,42.9,vehicle_breakdown,13.009426797435898,77.58607899230769,18,1,0.7826,0.1893,0.1273,0.223,0.223,41.42,Medium,Low,1.0
SE0029,Non-corridor,6.0,Sunday,afternoon,43,46.0,49.4,vehicle_breakdown,12.993904320697673,77.58202971906977,17,3,0.7391,0.2087,0.1465,0.171,0.171,40.84,Medium,Low,0.171
SE0030,Mysore Road,3.0,Thursday,morning,43,66.0,48.9,vehicle_breakdown,12.959051996976745,77.56196936627907,17,1,0.7391,0.2087,0.1451,0.2454,0.2454,40.81,Medium,Low,0.9635
SE0031,Bellary Road 1,1.0,Tuesday,midnight,36,57.0,40.2,vehicle_breakdown,13.017543596666666,77.58681994861111,18,2,0.7826,0.1748,0.1193,0.2119,0.2119,40.68,Medium,Low,0.95
SE0032,Non-corridor,3.0,Thursday,afternoon,47,50.0,57.3,vehicle_breakdown,12.999194806382977,77.60136271276595,16,3,0.6957,0.2282,0.17,0.1859,0.1859,40.36,Medium,Low,0.1859
SE0033,Tumkur Road,3.0,Thursday,midnight,34,52.5,35.4,vehicle_breakdown,13.027665114411764,77.54103223499999,18,1,0.7826,0.165,0.105,0.1952,0.1952,40.0,Medium,Low,1.0
SE0034,Mysore Road,5.0,Saturday,midnight,40,58.75,40.0,vehicle_breakdown,12.955887702999998,77.56143474299999,17,0,0.7391,0.1942,0.1187,0.2184,0.2184,39.71,Medium,Low,0.8577
SE0035,ORR East 2,4.0,Friday,midnight,28,42.0,37.1,construction,12.976773013571428,77.69496186,18,0,0.7826,0.1359,0.1101,0.1561,0.1561,38.94,Medium,Low,0.9655
SE0036,Mysore Road,4.0,Friday,midnight,36,55.5,37.3,vehicle_breakdown,12.957156055277778,77.56667863333332,17,1,0.7391,0.1748,0.1106,0.2063,0.2063,38.77,Medium,Low,0.8102
SE0037,Bellary Road 1,6.0,Sunday,early_morning,30,48.0,34.0,vehicle_breakdown,13.020893866666666,77.58712822666666,17,2,0.7391,0.1456,0.1009,0.1784,0.1784,37.41,Medium,Low,0.8
SE0038,Mysore Road,1.0,Tuesday,morning,36,55.5,41.3,vehicle_breakdown,12.958947349166667,77.56745838944444,16,1,0.6957,0.1748,0.1225,0.2063,0.2063,37.27,Medium,Low,0.8102
SE0039,Bellary Road 1,3.0,Thursday,midnight,34,52.5,37.5,vehicle_breakdown,13.020033247058823,77.58667385882353,16,1,0.6957,0.165,0.1112,0.1952,0.1952,36.65,Medium,Low,0.875
SE0040,Mysore Road,5.0,Saturday,early_morning,26,42.0,30.3,vehicle_breakdown,12.956507026923077,77.56124121153846,17,2,0.7391,0.1262,0.0899,0.1561,0.1561,36.41,Medium,Low,0.6131
SE0041,Mysore Road,6.0,Sunday,midnight,34,51.0,33.2,vehicle_breakdown,12.954302198529412,77.55366896029412,16,0,0.6957,0.165,0.0985,0.1896,0.1896,36.4,Medium,Low,0.7445
SE0042,Mysore Road,0.0,Monday,midnight,32,48.0,31.2,vehicle_breakdown,12.956082484375,77.55741358125,16,0,0.6957,0.1553,0.0926,0.1784,0.1784,35.89,Medium,Low,0.7007
SE0043,ORR East 2,1.0,Tuesday,midnight,22,33.0,31.8,construction,12.969882322727273,77.70016531363636,17,0,0.7391,0.1068,0.0943,0.1227,0.1227,35.72,Medium,Low,0.7586
SE0044,ORR East 2,2.0,Wednesday,midnight,21,31.5,30.0,construction,12.971434566666666,77.69904387619047,17,0,0.7391,0.1019,0.089,0.1171,0.1171,35.42,Medium,Low,0.7241
SE0045,Mysore Road,4.0,Friday,morning,34,54.0,40.5,vehicle_breakdown,12.961133817058824,77.57665048588235,15,2,0.6522,0.165,0.1201,0.2007,0.2007,35.09,Medium,Low,0.7883
SE0046,Bellary Road 1,1.0,Tuesday,morning,33,52.5,38.6,vehicle_breakdown,13.016809259090909,77.58623777969697,15,2,0.6522,0.1602,0.1145,0.1952,0.1952,34.79,Medium,Low,0.875
SE0047,ORR East 2,3.0,Thursday,midnight,18,28.5,27.5,construction,12.97315526111111,77.69820264444444,17,1,0.7391,0.0874,0.0816,0.1059,0.1059,34.69,Medium,Low,0.6552
SE0048,Bellary Road 1,5.0,Saturday,midnight,30,48.0,35.0,vehicle_breakdown,13.021750853333334,77.58670222266666,15,2,0.6522,0.1456,0.1038,0.1784,0.1784,33.99,Medium,Low,0.8
SE0049,Bellary Road 2,6.0,Sunday,morning,23,36.0,24.6,vehicle_breakdown,13.105991791304348,77.60410033043479,16,1,0.6957,0.1117,0.073,0.1338,0.1338,33.76,Medium,Low,0.8276
SE0050,Bellary Road 1,6.0,Sunday,morning,29,46.5,33.2,vehicle_breakdown,13.017416720689654,77.5858001724138,15,2,0.6522,0.1408,0.0985,0.1729,0.1729,33.69,Medium,Low,0.775
SE0051,Mysore Road,5.0,Saturday,morning,35,52.5,42.0,vehicle_breakdown,12.960576994285715,77.57011315428572,14,0,0.6087,0.1699,0.1246,0.1952,0.1952,33.64,Medium,Low,0.7664
SE0052,Mysore Road,2.0,Wednesday,morning,36,54.0,36.6,vehicle_breakdown,12.95999584888889,77.5697054136111,14,0,0.6087,0.1748,0.1086,0.2007,0.2007,33.51,Medium,Low,0.7883
SE0053,Mysore Road,3.0,Thursday,midnight,36,53.25,35.0,vehicle_breakdown,12.957356829722222,77.55999100027778,14,0,0.6087,0.1748,0.1038,0.198,0.198,33.42,Medium,Low,0.7774
SE0054,Mysore Road,6.0,Sunday,morning,28,45.0,31.6,vehicle_breakdown,12.962052485357143,77.57453587428571,15,2,0.6522,0.1359,0.0937,0.1673,0.1673,33.4,Medium,Low,0.6569
SE0055,Tumkur Road,1.0,Tuesday,midnight,21,30.5,21.5,vehicle_breakdown,13.029092138095239,77.53573435714286,16,0,0.6957,0.1019,0.0638,0.1134,0.1134,33.18,Medium,Low,0.581
SE0056,Bellary Road 2,1.0,Tuesday,midnight,26,40.5,28.8,vehicle_breakdown,13.104917326923076,77.60275066538462,15,1,0.6522,0.1262,0.0854,0.1506,0.1506,32.84,Medium,Low,0.931
SE0057,Bellary Road 1,0.0,Monday,midnight,30,46.5,32.0,vehicle_breakdown,13.015268223333333,77.58625489666666,14,1,0.6087,0.1456,0.0949,0.1729,0.1729,32.07,Medium,Low,0.775
SE0058,Bellary Road 2,5.0,Saturday,midnight,23,34.5,22.9,vehicle_breakdown,13.111140908695651,77.60365709130434,15,0,0.6522,0.1117,0.0679,0.1283,0.1283,31.91,Medium,Low,0.7931
SE0059,Tumkur Road,5.0,Saturday,midnight,28,46.0,33.6,vehicle_breakdown,13.029562146785713,77.5384252107143,14,3,0.6087,0.1359,0.0997,0.171,0.171,31.78,Medium,Low,0.8762
SE0060,ORR North 1,2.0,Wednesday,midnight,20,31.5,25.0,vehicle_breakdown,13.019154850000001,77.64317807500001,15,1,0.6522,0.0971,0.0742,0.1171,0.1171,31.46,Medium,Low,0.84
SE0061,Bellary Road 2,2.0,Wednesday,midnight,27,43.5,30.4,vehicle_breakdown,13.116314262962963,77.6076076074074,14,2,0.6087,0.1311,0.0902,0.1617,0.1617,31.4,Medium,Low,1.0
SE0062,Bellary Road 1,2.0,Wednesday,morning,26,39.0,28.0,vehicle_breakdown,13.018327236923076,77.58769692653847,14,0,0.6087,0.1262,0.0831,0.145,0.145,31.06,Medium,Low,0.65
SE0063,Bellary Road 1,3.0,Thursday,morning,31,46.5,32.6,vehicle_breakdown,13.015395961290322,77.5866239,13,0,0.5652,0.1505,0.0967,0.1729,0.1729,30.56,Low,Low,0.775
SE0064,Tumkur Road,2.0,Wednesday,midnight,23,37.5,26.6,vehicle_breakdown,13.032584360869565,77.53182000869565,14,2,0.6087,0.1117,0.0789,0.1394,0.1394,30.39,Low,Low,0.7143
SE0065,Hosur Road,5.0,Saturday,morning,44,66.0,44.1,pot_holes,12.919429763636362,77.62180849022728,11,0,0.4783,0.2136,0.1308,0.2454,0.2454,30.29,Low,Low,1.0
SE0066,Bellary Road 1,6.0,Sunday,midnight,23,36.0,24.9,vehicle_breakdown,13.020180878260868,77.58765327391303,14,1,0.6087,0.1117,0.0739,0.1338,0.1338,30.29,Low,Low,0.6
SE0067,Tumkur Road,6.0,Sunday,morning,22,34.5,24.0,vehicle_breakdown,13.029774017272727,77.53712932954545,14,1,0.6087,0.1068,0.0712,0.1283,0.1283,30.04,Low,Low,0.6571
SE0068,Tumkur Road,0.0,Monday,midnight,29,43.5,29.5,vehicle_breakdown,13.03043857586207,77.53705596896552,13,0,0.5652,0.1408,0.0875,0.1617,0.1617,29.99,Low,Low,0.8286
SE0069,Tumkur Road,1.0,Tuesday,early_morning,22,33.0,21.6,vehicle_breakdown,13.034903304545454,77.52792982272727,14,0,0.6087,0.1068,0.0641,0.1227,0.1227,29.9,Low,Low,0.6286
SE0070,Mysore Road,0.0,Monday,early_morning,21,33.0,24.0,vehicle_breakdown,12.954190452380953,77.55358285714286,14,1,0.6087,0.1019,0.0712,0.1227,0.1227,29.85,Low,Low,0.4818
SE0071,Mysore Road,4.0,Friday,early_morning,21,33.0,22.6,vehicle_breakdown,12.960576688571429,77.56878139904762,14,1,0.6087,0.1019,0.067,0.1227,0.1227,29.76,Low,Low,0.4818
SE0072,Mysore Road,3.0,Thursday,early_morning,21,31.5,21.8,vehicle_breakdown,12.962114523333334,77.57139100047618,14,0,0.6087,0.1019,0.0647,0.1171,0.1171,29.72,Low,Low,0.4599
SE0073,Mysore Road,2.0,Wednesday,early_morning,26,42.0,30.3,vehicle_breakdown,12.96260250346154,77.5800895373077,13,2,0.5652,0.1262,0.0899,0.1561,0.1561,29.45,Low,Low,0.6131
SE0074,Mysore Road,6.0,Sunday,early_morning,26,39.0,25.8,vehicle_breakdown,12.955202092307692,77.55864345384614,13,0,0.5652,0.1262,0.0765,0.145,0.145,29.19,Low,Low,0.5693
SE0075,ORR North 2,3.0,Thursday,morning,20,30.0,30.8,congestion,13.044427725,77.57531177,13,0,0.5652,0.0971,0.0914,0.1115,0.1115,28.32,Low,Low,1.0
SE0076,Bellary Road 1,4.0,Friday,morning,22,33.0,22.5,vehicle_breakdown,13.01519250909091,77.58753911363637,13,0,0.5652,0.1068,0.0667,0.1227,0.1227,28.21,Low,Low,0.55
SE0077,Bannerghata Road,4.0,Friday,midnight,48,73.5,52.4,pot_holes,12.883251722916667,77.59475570208333,9,1,0.3913,0.233,0.1554,0.2732,0.2732,28.08,Low,Low,1.0
SE0078,Non-corridor,0.0,Monday,afternoon,20,23.0,25.6,vehicle_breakdown,12.986749649999998,77.59967005,13,3,0.5652,0.0971,0.0759,0.0855,0.0855,28.01,Low,Low,0.0855
SE0079,Bellary Road 2,0.0,Monday,morning,18,31.5,23.7,vehicle_breakdown,13.094943322222223,77.59987976666667,13,3,0.5652,0.0874,0.0703,0.1171,0.1171,27.51,Low,Low,0.7241
SE0080,Magadi Road,5.0,Saturday,morning,19,28.5,19.0,vehicle_breakdown,12.9857399,77.51990385789475,13,0,0.5652,0.0922,0.0564,0.1059,0.1059,27.42,Low,Low,1.0
SE0081,ORR North 2,5.0,Saturday,morning,17,25.5,25.3,congestion,13.043818576470589,77.56574227647059,13,0,0.5652,0.0825,0.0751,0.0948,0.0948,27.41,Low,Low,0.85
SE0082,ORR East 1,0.0,Monday,midnight,25,37.5,28.2,vehicle_breakdown,12.932315668000001,77.674757692,12,0,0.5217,0.1214,0.0837,0.1394,0.1394,27.4,Low,Low,1.0
SE0083,Bellary Road 1,3.0,Thursday,early_morning,18,27.0,18.3,vehicle_breakdown,13.022067999999999,77.58755506111112,13,0,0.5652,0.0874,0.0543,0.1004,0.1004,27.19,Low,Low,0.45
SE0084,ORR East 1,3.0,Thursday,midnight,18,27.0,18.1,vehicle_breakdown,12.931839466666666,77.67243598333333,13,0,0.5652,0.0874,0.0537,0.1004,0.1004,27.18,Low,Low,0.72
SE0085,Tumkur Road,4.0,Friday,morning,18,27.0,18.0,vehicle_breakdown,13.029507677777778,77.53795218333333,13,0,0.5652,0.0874,0.0534,0.1004,0.1004,27.17,Low,Low,0.5143
SE0086,Bellary Road 1,0.0,Monday,early_morning,17,25.5,17.6,vehicle_breakdown,13.019443445882352,77.58664158411764,13,0,0.5652,0.0825,0.0522,0.0948,0.0948,26.95,Low,Low,0.425
SE0087,ORR North 1,1.0,Tuesday,midnight,22,37.5,28.9,vehicle_breakdown,13.024040696363636,77.63829212181818,12,3,0.5217,0.1068,0.0857,0.1394,0.1394,26.85,Low,Low,1.0
SE0088,ORR East 1,2.0,Wednesday,midnight,23,34.5,24.8,vehicle_breakdown,12.928333643478261,77.66767404869566,12,0,0.5217,0.1117,0.0736,0.1283,0.1283,26.81,Low,Low,0.92
SE0089,Tumkur Road,6.0,Sunday,midnight,16,25.5,17.6,vehicle_breakdown,13.03015755,77.5364264,13,1,0.5652,0.0777,0.0522,0.0948,0.0948,26.76,Low,Low,0.4857
SE0090,ORR North 2,2.0,Wednesday,morning,14,21.0,22.4,congestion,13.031963721428571,77.57139404285714,13,0,0.5652,0.068,0.0664,0.0781,0.0781,26.66,Low,Low,0.7
SE0091,Magadi Road,2.0,Wednesday,morning,16,24.0,15.6,vehicle_breakdown,12.98476864375,77.5226454625,13,0,0.5652,0.0777,0.0463,0.0892,0.0892,26.64,Low,Low,0.8421
SE0092,Bellary Road 2,2.0,Wednesday,morning,20,33.0,25.6,vehicle_breakdown,13.109902181,77.606099898,12,2,0.5217,0.0971,0.0759,0.1227,0.1227,26.27,Low,Low,0.7586
SE0093,Mysore Road,1.0,Tuesday,early_morning,20,30.0,20.0,vehicle_breakdown,12.96086702,77.57419028,12,0,0.5217,0.0971,0.0593,0.1115,0.1115,25.94,Low,Low,0.438
SE0094,Hosur Road,4.0,Friday,midnight,23,36.0,24.6,vehicle_breakdown,12.904446594347826,77.63070692782608,11,1,0.4783,0.1117,0.073,0.1338,0.1338,25.06,Low,Low,0.5455
SE0095,Bellary Road 2,4.0,Friday,midnight,23,36.0,24.4,vehicle_breakdown,13.122651126086957,77.61127122173913,11,1,0.4783,0.1117,0.0724,0.1338,0.1338,25.05,Low,Low,0.8276
SE0096,Bellary Road 1,5.0,Saturday,early_morning,16,24.0,15.8,vehicle_breakdown,13.0185857375,77.58640968125,12,0,0.5217,0.0777,0.0469,0.0892,0.0892,24.91,Low,Low,0.4
SE0097,ORR North 2,2.0,Wednesday,midnight,14,22.5,15.6,vehicle_breakdown,13.041253421428573,77.55453378571428,12,1,0.5217,0.068,0.0463,0.0836,0.0836,24.51,Low,Low,0.75
SE0098,Bellary Road 1,2.0,Wednesday,midnight,21,31.5,21.5,vehicle_breakdown,13.011084538095238,77.58603762857143,11,0,0.4783,0.1019,0.0638,0.1171,0.1171,24.48,Low,Low,0.525
SE0099,Tumkur Road,3.0,Thursday,morning,21,31.5,21.2,vehicle_breakdown,13.03348022095238,77.53044830428571,11,0,0.4783,0.1019,0.0629,0.1171,0.1171,24.47,Low,Low,0.6
SE0100,Old Madras Road,0.0,Monday,midnight,21,31.5,21.1,vehicle_breakdown,12.982463061904761,77.63383014761905,11,0,0.4783,0.1019,0.0626,0.1171,0.1171,24.46,Low,Low,0.913
SE0101,Hosur Road,3.0,Thursday,midnight,18,36.0,30.5,vehicle_breakdown,12.909182122222223,77.62932037777779,11,6,0.4783,0.0874,0.0905,0.1338,0.1338,24.44,Low,Low,0.5455
SE0102,Bellary Road 1,5.0,Saturday,morning,21,31.5,20.6,vehicle_breakdown,13.017852114761906,77.58686250285714,11,0,0.4783,0.1019,0.0611,0.1171,0.1171,24.43,Low,Low,0.525
SE0103,ORR East 1,1.0,Tuesday,midnight,20,31.5,22.8,vehicle_breakdown,12.929892049500001,77.673929802,11,1,0.4783,0.0971,0.0676,0.1171,0.1171,24.37,Low,Low,0.84
SE0104,ORR North 2,1.0,Tuesday,morning,18,27.0,27.3,congestion,13.043832466666666,77.57094423333334,11,0,0.4783,0.0874,0.081,0.1004,0.1004,24.25,Low,Low,0.9
SE0105,Bellary Road 1,1.0,Tuesday,early_morning,12,18.0,11.9,vehicle_breakdown,13.016718983333334,77.58529679166666,12,0,0.5217,0.0583,0.0353,0.0669,0.0669,23.91,Low,Low,0.3
SE0106,Bellary Road 1,4.0,Friday,early_morning,18,27.0,18.1,vehicle_breakdown,13.02254063888889,77.58615726666667,11,0,0.4783,0.0874,0.0537,0.1004,0.1004,23.7,Low,Low,0.45
SE0107,Old Madras Road,3.0,Thursday,midnight,17,27.0,20.0,vehicle_breakdown,12.978900891764706,77.62941690705883,11,1,0.4783,0.0825,0.0593,0.1004,0.1004,23.62,Low,Low,0.7826
SE0108,ORR West 1,5.0,Saturday,morning,15,22.5,17.0,vehicle_breakdown,12.91559766,77.56548628666665,11,0,0.4783,0.0728,0.0504,0.0836,0.0836,23.05,Low,Low,1.0
SE0109,Hosur Road,2.0,Wednesday,midnight,15,24.0,16.7,vehicle_breakdown,12.928710704666667,77.61843938066666,11,1,0.4783,0.0728,0.0495,0.0892,0.0892,23.03,Low,Low,0.3636
SE0110,Bannerghata Road,1.0,Tuesday,morning,15,22.5,16.1,vehicle_breakdown,12.90398966,77.59985282000001,11,0,0.4783,0.0728,0.0478,0.0836,0.0836,23.0,Low,Low,0.3061
SE0111,Tumkur Road,0.0,Monday,early_morning,15,22.5,14.8,vehicle_breakdown,13.033073454,77.530282872,11,0,0.4783,0.0728,0.0439,0.0836,0.0836,22.92,Low,Low,0.4286
SE0112,Magadi Road,0.0,Monday,midnight,14,21.0,13.8,vehicle_breakdown,12.984584847142857,77.523227295,11,0,0.4783,0.068,0.0409,0.0781,0.0781,22.67,Low,Low,0.7368
SE0113,Non-corridor,2.0,Wednesday,evening,11,15.0,19.8,vehicle_breakdown,12.995581475454545,77.59618613454546,11,4,0.4783,0.0534,0.0587,0.0558,0.0558,22.44,Low,Low,0.0558
SE0114,Bellary Road 2,0.0,Monday,midnight,17,27.0,18.4,vehicle_breakdown,13.106657711764706,77.60361547647058,10,1,0.4348,0.0825,0.0546,0.1004,0.1004,21.78,Low,Low,0.6207
SE0115,Mysore Road,0.0,Monday,morning,17,25.5,17.0,vehicle_breakdown,12.953361038235293,77.56040389764705,10,0,0.4348,0.0825,0.0504,0.0948,0.0948,21.7,Low,Low,0.3723
SE0116,Old Madras Road,6.0,Sunday,morning,17,25.5,16.9,vehicle_breakdown,12.978983511764705,77.62299789411765,10,0,0.4348,0.0825,0.0501,0.0948,0.0948,21.69,Low,Low,0.7391
SE0117,Tumkur Road,6.0,Sunday,early_morning,16,25.5,18.3,vehicle_breakdown,13.03538540625,77.52711900625,10,1,0.4348,0.0777,0.0543,0.0948,0.0948,21.59,Low,Low,0.4857
SE0118,Old Madras Road,5.0,Saturday,midnight,23,34.5,24.5,vehicle_breakdown,12.981679504347825,77.62989491304349,9,0,0.3913,0.1117,0.0727,0.1283,0.1283,21.57,Low,Low,1.0
SE0119,Tumkur Road,4.0,Friday,early_morning,16,24.0,15.4,vehicle_breakdown,13.0275166625,77.54103190000001,10,0,0.4348,0.0777,0.0457,0.0892,0.0892,21.41,Low,Low,0.4571
SE0120,Tumkur Road,2.0,Wednesday,morning,15,22.5,17.0,vehicle_breakdown,13.027130572,77.53218555400001,10,0,0.4348,0.0728,0.0504,0.0836,0.0836,21.31,Low,Low,0.4286
SE0121,ORR North 1,4.0,Friday,midnight,15,22.5,16.5,vehicle_breakdown,13.02325474,77.63865682000001,10,0,0.4348,0.0728,0.0489,0.0836,0.0836,21.28,Low,Low,0.6
SE0122,Bannerghata Road,2.0,Wednesday,midnight,15,22.5,16.1,vehicle_breakdown,12.90412878,77.60030488666666,10,0,0.4348,0.0728,0.0478,0.0836,0.0836,21.26,Low,Low,0.3061
SE0123,Mysore Road,4.0,Friday,afternoon,14,22.5,16.8,vehicle_breakdown,12.963209296428571,77.57522802999999,10,1,0.4348,0.068,0.0498,0.0836,0.0836,21.11,Low,Low,0.3285
SE0124,ORR East 1,4.0,Friday,midnight,14,22.5,16.5,vehicle_breakdown,12.926553765,77.66554284142856,10,1,0.4348,0.068,0.0489,0.0836,0.0836,21.09,Low,Low,0.6
SE0125,Magadi Road,1.0,Tuesday,morning,14,21.0,14.3,vehicle_breakdown,12.986430878571428,77.51593380714287,10,0,0.4348,0.068,0.0424,0.0781,0.0781,20.96,Low,Low,0.7368
SE0126,Magadi Road,2.0,Wednesday,midnight,14,21.0,14.0,vehicle_breakdown,12.986834700000001,77.51747764285713,10,0,0.4348,0.068,0.0415,0.0781,0.0781,20.94,Low,Low,0.7368
SE0127,ORR West 1,3.0,Thursday,midnight,13,19.5,14.4,vehicle_breakdown,12.922268430769233,77.55740214615385,10,0,0.4348,0.0631,0.0427,0.0725,0.0725,20.77,Low,Low,0.8667
SE0128,Old Madras Road,4.0,Friday,midnight,13,19.5,13.5,vehicle_breakdown,12.97752492,77.6220219823077,10,0,0.4348,0.0631,0.04,0.0725,0.0725,20.72,Low,Low,0.5652
SE0129,ORR North 1,3.0,Thursday,midnight,19,28.5,21.4,vehicle_breakdown,13.024546821052633,77.64077499473684,9,0,0.3913,0.0922,0.0635,0.1059,0.1059,20.61,Low,Low,0.76
SE0130,Hosur Road,1.0,Tuesday,midnight,12,19.5,13.8,vehicle_breakdown,12.919768173333333,77.6223593925,10,1,0.4348,0.0583,0.0409,0.0725,0.0725,20.54,Low,Low,0.2955
SE0131,ORR West 1,0.0,Monday,midnight,12,18.0,12.8,vehicle_breakdown,12.919193333333332,77.56366663333334,10,0,0.4348,0.0583,0.038,0.0669,0.0669,20.48,Low,Low,0.8
